Volume of exports of major arms by the top suppliers  1950-2025;
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 14 Jul 2026 11:07:33 PM

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rank 1950-2025,,Supplier,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,1950-2025, Share of global arms imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31,,United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,14,,,22,2,,,2,,,,,28,6,37,,,,,,,3,15,17,3,,34,39,3,75,115,100,143,111,106,120,131,209,57,17,64,119,33,1633,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32,,Austria,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,37,126,54,70,61,58,60,248,40,30,12,12,30,20,20,10,17,,18,3,29,23,23,17,83,2,3,3,62,67,14,50,75,62,31,29,16,10,17,22,8,3,10,3,3,4,23,1,1617,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,,Yugoslavia,,,,,,,17,,71,,6,,,,23,23,,,,21,3,26,,35,,14,65,101,60,40,103,103,22,53,77,94,8,,14,18,80,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1554,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,34,,Romania,,,,,,0,,,,,,,,,,,,,,,,6,10,10,1,,,4,32,44,54,36,91,102,174,99,29,37,52,25,7,6,15,16,29,11,5,13,2,19,3,,,24,,3,8,32,,2,1,0,,216,,,,,,,,,1,1,123,132,1473,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,,Libya,,,,,,,,,,,,,,,,,,,,,,,0,0,,26,4,,8,395,95,107,169,64,9,31,9,13,64,7,36,,,,3,,,3,10,,,,21,16,113,113,18,9,17,32,27,0,,,,,0,,,,,,,,,,1417,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36,,Jordan,,,,,,,,,,2,,,,,,,,,,,,36,,22,23,50,,18,,,,,1,76,,2,7,,7,64,,,,,65,,,6,,,,,,,19,22,,13,13,28,117,,21,35,114,16,18,80,2,109,66,74,53,11,226,,1413,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,37,,Iran,,,1,,,,,,,,,,3,,,,,28,,,23,6,106,6,129,86,,,,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,3,0,0,0,0,0,9,12,3,4,78,2,82,99,54,77,35,2,34,11,24,24,9,9,16,2,48,170,106,80,1389,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38,,unknown supplier(s),23,12,,,,2,17,17,17,17,17,19,5,1,1,14,2,12,,0,,4,12,8,7,15,9,1,12,30,35,38,22,2,2,8,35,3,8,6,11,9,3,41,56,1,67,11,4,3,12,17,19,12,15,53,9,0,36,9,31,8,14,10,26,12,15,6,8,12,3,32,42,131,22,51,1244,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39,,Singapore,,,,,,,,,,,,,,,,,,,,,,2,,,,17,,,29,72,,15,,25,38,26,,81,25,87,44,3,3,11,30,,1,46,23,11,12,,4,,65,,,,,35,32,17,79,7,12,80,77,,,,24,72,36,11,,79,1228,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40,,Egypt,,,,,,,9,21,4,4,0,0,7,8,1,,14,15,26,15,39,,,,,16,,51,78,32,29,71,81,71,37,5,19,76,81,81,25,,15,28,17,12,5,5,,,,,,,,,,,,,,,,,7,21,,,,8,,41,41,4,2,,1124,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41,,Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,126,4,,,,209,209,209,,,,34,68,,,,,,,,,,1111,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
