Volume of imports of major arms by all recipients  1950-2025;
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 14 Jul 2026 11:08:14 PM

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rank 1950-2025,,Recipient,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,1950-2025, Share of global arms imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32,,Indonesia,195,58,14,6,16,25,42,16,687,576,448,780,1026,206,596,317,17,1,0,9,27,92,5,73,73,4,156,62,124,370,898,790,356,224,102,291,433,265,285,249,202,11,51,210,472,284,378,101,85,161,171,22,67,353,77,33,63,578,239,443,221,257,162,833,1195,438,352,1171,357,239,283,366,86,390,185,1277,21729,1.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,,France,180,967,1150,1720,1770,1647,1521,743,1133,815,526,321,122,162,1300,378,106,98,123,64,44,57,33,51,46,45,186,194,231,107,70,106,142,108,73,20,100,84,134,107,77,963,439,102,84,99,64,223,171,105,98,61,38,55,93,2,68,75,2,72,103,41,86,104,17,36,38,84,201,104,225,105,130,114,183,236,21480,1.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,34,,Bulgaria,166,88,117,364,689,539,431,304,354,165,482,522,493,553,326,372,218,329,256,533,771,407,460,274,302,390,368,492,876,323,580,984,610,754,945,619,932,449,253,314,755,339,42,1,1,1,122,,,7,,,,2,13,132,22,48,117,119,8,29,5,,,4,,,,2,44,1,3,,,540,20757,1.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,,Singapore,,,,,,,6,,,,,,,,,1,8,,6,139,92,171,181,89,282,253,252,171,50,313,371,167,171,242,83,123,84,302,541,231,513,373,115,170,179,302,159,613,798,302,782,246,229,79,374,538,74,396,1106,1403,937,879,746,753,66,152,642,408,562,487,176,226,516,495,378,57,20555,1.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36,,Belgium,229,461,972,1098,604,345,673,670,887,179,92,132,188,575,652,521,116,39,220,240,514,499,492,562,113,130,184,187,409,779,565,515,433,580,575,287,91,91,407,203,314,125,48,73,47,16,3,50,55,58,36,30,48,21,15,3,15,171,191,87,40,27,33,48,99,52,4,7,1,9,90,255,170,12,508,430,19699,0.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,37,,Romania,7,76,427,873,626,464,450,189,109,100,116,30,179,230,421,520,401,442,591,399,561,471,497,538,673,637,294,348,329,612,516,470,444,284,243,330,455,214,237,296,599,65,187,14,29,2,39,61,170,142,21,24,21,17,283,431,64,101,80,59,107,80,21,20,0,22,177,88,36,13,168,105,186,364,320,421,19635,0.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38,,Norway,110,123,426,421,19,170,281,144,149,119,153,93,60,227,260,368,759,685,289,538,154,82,68,63,55,49,35,27,24,47,254,435,457,441,337,122,141,192,308,600,435,321,253,180,93,66,151,164,158,151,234,99,95,9,6,14,559,598,602,569,150,607,147,51,16,143,142,353,520,389,459,503,700,200,379,407,19207,0.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39,,Qatar,,,,,,,,,,,,,,,,,,,2,3,6,16,,,,38,26,55,16,14,57,48,127,460,340,2,2,57,91,10,5,17,63,10,9,10,204,238,302,61,3,,,,,,,27,,286,30,190,335,82,55,490,596,285,613,2230,1082,2288,3336,2006,1194,1054,18472,0.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40,,Brazil,,615,,133,112,379,55,134,120,130,236,212,62,127,25,149,57,218,236,108,217,171,520,598,256,538,551,525,832,375,338,61,72,88,123,82,139,234,125,742,140,161,98,66,311,267,547,476,200,308,86,573,221,110,85,223,178,188,178,135,256,231,317,217,201,202,111,96,258,125,134,240,469,193,450,462,18207,0.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41,,Yugoslavia,,185,480,514,524,334,352,229,112,279,205,118,346,374,313,418,476,565,640,435,362,349,376,257,290,746,642,711,596,935,783,603,774,836,323,362,343,361,675,325,306,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17993,0.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
